Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
1632.0,6366.0,1132.0,1839.0,322.0,64.0,98.0,615.0,804.0,730.0,407.0,117.0,0.289,0.784
1913.0,7182.0,1048.0,2004.0,320.0,77.0,32.0,591.0,827.0,487.0,145.0,75.0,0.279,0.713
826.0,2516.0,371.0,684.0,127.0,9.0,46.0,230.0,195.0,230.0,98.0,31.0,0.272,0.713
1245.0,4364.0,499.0,1292.0,139.0,37.0,65.0,520.0,167.0,146.0,11.0,8.0,0.296,0.712
924.0,2856.0,316.0,733.0,135.0,18.0,66.0,376.0,181.0,552.0,21.0,29.0,0.257,0.687
2323.0,8860.0,1775.0,2839.0,574.0,146.0,184.0,1427.0,1186.0,372.0,181.0,89.0,0.32,0.884
813.0,3102.0,693.0,794.0,135.0,58.0,19.0,334.0,535.0,158.0,255.0,29.111971403812824,0.256,0.728
1062.0,3701.0,551.0,1071.0,240.0,51.0,73.0,573.0,353.0,315.0,57.0,45.0,0.289,0.793
1197.0,4501.0,663.0,1215.0,203.0,40.0,74.0,446.0,337.0,625.0,222.0,93.0,0.27,0.706
1396.0,4977.0,623.0,1209.0,274.0,27.0,137.0,536.0,392.0,1165.0,97.0,48.0,0.243,0.693
1280.0,5371.0,965.0,1467.0,228.0,132.0,68.0,601.0,418.0,547.0,113.0,29.111971403812824,0.273,0.732
1410.0,4106.0,498.0,1042.0,227.0,17.0,146.0,618.0,391.0,864.0,34.0,33.0,0.254,0.746
1559.0,5646.0,736.0,1501.0,325.0,22.0,162.0,695.0,443.0,847.0,74.0,35.0,0.266,0.74
912.0,3028.0,334.0,755.0,167.0,23.0,36.0,387.0,284.0,268.0,27.0,29.0,0.249,0.671
889.0,3294.0,469.0,889.0,165.0,26.0,138.0,474.0,176.0,670.0,53.0,23.0,0.27,0.766
1387.0,4449.0,496.0,1176.0,193.0,42.0,71.0,435.0,348.0,658.0,167.0,63.0,0.264,0.691
1555.0,5248.0,664.0,1349.0,189.0,43.0,56.0,458.0,471.0,616.0,168.0,78.0,0.257,0.658
1341.0,3971.0,551.0,1031.0,189.0,53.0,47.0,422.0,500.0,624.0,81.0,50.0,0.26,0.715
1352.0,4426.0,636.0,1202.0,150.0,15.0,211.0,669.0,435.0,656.0,54.0,24.0,0.272,0.795
1373.0,8568.0,1619.0,2672.0,361.0,220.0,67.0,1015.0,874.0,135.0,506.0,29.111971403812824,0.312,0.815
927.0,2896.0,247.0,733.0,153.0,11.0,44.0,320.0,189.0,450.0,18.0,21.0,0.253,0.658
1716.0,6655.0,998.0,1931.0,309.0,123.0,136.0,766.0,377.0,1067.0,480.0,109.0,0.29,0.765
1011.0,3148.0,377.0,710.0,169.0,9.0,114.0,367.0,374.0,788.0,11.0,16.0,0.226,0.704
1704.0,6184.0,730.0,1729.0,334.0,46.0,94.0,884.0,579.0,497.0,42.0,3.0,0.28,0.737
1163.0,3253.0,421.0,798.0,141.0,27.0,19.0,263.0,386.0,651.0,104.0,36.0,0.245,0.646
1467.0,4222.0,625.0,1138.0,220.0,7.0,187.0,702.0,652.0,929.0,13.0,4.0,0.27,0.828
1883.0,6443.0,1118.0,2011.0,367.0,83.0,359.0,1337.0,856.0,524.0,28.0,1.0,0.312,0.959
1318.0,5896.0,758.0,1576.0,284.0,90.0,27.0,762.0,471.0,32.0,194.0,29.111971403812824,0.267,0.69
1741.0,6478.0,865.0,1823.0,311.0,66.0,206.0,942.0,470.0,636.0,30.0,31.0,0.281,0.775
1826.0,6161.0,724.0,1568.0,323.0,43.0,199.0,816.0,388.0,1224.0,48.0,39.0,0.255,0.719
1038.0,3064.0,307.0,738.0,99.0,34.0,19.0,219.0,256.0,425.0,74.0,46.0,0.241,0.614
818.0,2778.0,340.0,733.0,136.0,19.0,42.0,258.0,256.0,314.0,22.0,7.0,0.264,0.7
1092.0,3285.0,438.0,786.0,107.0,22.0,61.0,340.0,561.0,529.0,38.0,30.0,0.239,0.691
1034.0,3657.0,560.0,1010.0,221.0,32.0,140.0,470.0,282.0,705.0,122.0,28.0,0.276,0.8
1302.0,4594.0,632.0,1272.0,255.0,19.0,165.0,630.0,314.0,949.0,82.0,45.0,0.277,0.774
846.0,3013.0,439.0,926.0,155.0,26.0,73.0,452.0,195.0,176.0,23.0,29.111971403812824,0.307,0.801
1155.0,4079.0,584.0,1019.0,179.0,13.0,224.0,635.0,467.0,1233.0,28.0,17.0,0.25,0.799
1394.0,5193.0,1051.0,1628.0,379.0,71.0,331.0,1276.0,852.0,844.0,58.0,26.0,0.313,1.017
1294.0,3935.0,461.0,1011.0,153.0,31.0,134.0,504.0,477.0,593.0,14.0,30.0,0.257,0.754
959.0,2811.0,268.0,751.0,122.0,18.0,44.0,311.0,186.0,412.0,16.0,16.0,0.267,0.683
1829.0,6092.0,900.0,1664.0,379.0,10.0,275.0,1065.0,936.0,1453.0,20.0,21.0,0.273,0.848
858.0,2813.0,353.0,776.0,148.0,19.0,58.0,309.0,135.0,400.0,142.0,38.0,0.276,0.714
1807.0,6533.0,906.0,1766.0,288.0,124.0,92.0,792.0,545.0,515.0,233.0,17.0,0.27,0.727
956.0,3707.0,516.0,990.0,173.0,43.0,29.0,423.0,212.0,250.0,113.0,63.0,0.267,0.668
1417.0,6653.0,1001.0,1841.0,361.0,145.0,75.0,951.0,525.0,45.0,285.0,2.0,0.277,0.743
1795.0,6702.0,881.0,2054.0,385.0,50.0,78.0,870.0,621.0,287.0,51.0,36.0,0.306,0.781
1584.0,4502.0,656.0,1195.0,188.0,31.0,200.0,666.0,610.0,544.0,47.0,37.0,0.265,0.81
1237.0,4946.0,714.0,1286.0,238.0,76.0,74.0,667.0,173.0,602.0,130.0,29.111971403812824,0.26,0.671
1247.0,4311.0,587.0,1178.0,261.0,19.0,122.0,566.0,325.0,775.0,49.0,19.0,0.273,0.758
1460.0,4505.0,386.0,1194.0,197.0,16.0,53.0,543.0,418.0,264.0,8.0,29.111971403812824,0.265,0.679
2360.0,7927.0,1195.0,2232.0,423.0,55.0,475.0,1540.0,937.0,1936.0,17.0,16.0,0.282,0.889
1161.0,3630.0,511.0,891.0,197.0,25.0,137.0,588.0,629.0,726.0,50.0,10.0,0.245,0.784
2275.0,9294.0,1421.0,2455.0,511.0,115.0,231.0,936.0,813.0,1264.0,470.0,105.0,0.264,0.742
1082.0,3048.0,299.0,707.0,108.0,54.0,22.0,317.0,263.0,315.0,86.0,16.0,0.232,0.62
952.0,3419.0,480.0,938.0,192.0,18.0,122.0,540.0,329.0,730.0,57.0,36.0,0.274,0.792
1033.0,3607.0,460.0,934.0,217.0,15.0,97.0,391.0,154.0,640.0,92.0,32.0,0.259,0.704
1518.0,5357.0,843.0,1458.0,258.0,46.0,164.0,676.0,674.0,768.0,67.0,43.0,0.272,0.787
916.0,3062.0,411.0,760.0,140.0,51.0,82.0,316.0,236.0,737.0,112.0,36.0,0.248,0.716
1391.0,4229.0,331.0,1122.0,170.0,44.0,47.0,525.0,281.0,416.0,37.0,20.0,0.265,0.673
1328.0,4984.0,633.0,1306.0,180.0,74.0,20.0,471.0,333.0,732.406017542465,184.0,0.655,0.262,0.655
1559.0,4532.0,629.0,1188.0,233.0,11.0,251.0,824.0,527.0,1209.0,6.0,9.0,0.262,0.824
1522.0,5428.0,697.0,1543.0,327.0,36.0,123.0,739.0,432.0,738.0,42.0,26.0,0.284,0.765
1061.0,3442.0,311.0,813.0,118.0,13.0,82.0,381.0,271.0,565.0,12.0,17.0,0.236,0.642
1162.0,4271.0,571.0,1190.0,195.0,49.0,28.0,443.0,222.0,190.0,31.0,14.0,0.279,0.683
1811.0,6354.0,1023.0,1671.0,232.0,50.0,155.0,614.0,833.0,852.0,557.0,114.0,0.263,0.737
1455.0,4800.0,641.0,1367.0,303.0,34.0,162.0,687.0,519.0,938.0,29.0,28.0,0.285,0.822
1799.0,5215.0,617.0,1344.0,179.0,42.0,87.0,481.0,481.0,675.0,64.0,60.0,0.258,0.677
1879.0,6491.0,1146.0,1905.0,422.0,30.0,366.0,1234.0,1201.0,1300.0,86.0,48.0,0.293,0.943
1023.0,2959.0,358.0,768.0,157.0,12.0,70.0,331.0,227.0,392.0,12.0,21.0,0.26,0.704
2196.0,7599.0,1204.0,1933.0,383.0,36.0,434.0,1289.0,891.0,1748.0,152.0,59.0,0.254,0.823
1448.0,5062.0,566.0,1500.0,205.0,57.0,65.0,585.0,223.0,331.0,36.0,38.0,0.296,0.724
1799.0,6654.0,963.0,1846.0,417.0,22.0,284.0,1061.0,646.0,1384.0,43.0,16.0,0.277,0.816
1036.0,3480.0,442.0,913.0,187.0,19.0,140.0,564.0,355.0,834.0,12.0,7.0,0.262,0.778
989.0,3180.0,288.0,939.0,146.0,12.0,61.0,474.0,220.0,188.0,6.0,2.0,0.295,0.754
1645.0,5782.0,720.0,1580.0,290.0,82.0,60.0,733.0,454.0,583.0,272.0,20.0,0.273,0.714
1832.0,6192.0,943.0,1602.0,255.0,47.0,53.0,614.0,875.0,983.0,272.0,119.0,0.259,0.69
1417.0,5531.0,850.0,1527.0,367.0,39.0,97.0,542.0,609.0,844.0,285.0,73.0,0.276,0.756
1096.0,3770.0,438.0,1051.0,220.0,14.0,47.0,366.0,173.0,502.0,59.0,35.0,0.279,0.701
1117.0,4297.0,797.0,1273.0,200.0,79.0,20.0,596.0,554.0,29.0,401.0,29.111971403812824,0.296,0.788
2189.0,8365.0,1322.0,2574.0,317.0,109.0,29.0,586.0,1198.0,571.0,234.0,92.0,0.308,0.778
1635.0,5798.0,985.0,1553.0,260.0,54.0,255.0,870.0,718.0,1285.0,284.0,78.0,0.268,0.815
811.0,2781.0,415.0,794.0,152.0,44.0,43.0,290.0,180.0,170.0,42.0,49.0,0.286,0.749
1365.0,4716.0,677.0,1332.0,203.0,106.0,44.0,503.0,324.0,464.0,129.0,21.0,0.282,0.73
963.0,2999.0,419.0,778.0,161.0,16.0,91.0,371.0,236.0,537.0,134.0,56.0,0.259,0.728
926.0,2986.0,356.0,774.0,165.0,22.0,56.0,342.0,213.0,329.0,23.0,27.0,0.259,0.699
823.0,2883.0,399.0,696.0,156.0,19.0,96.0,362.0,287.0,694.0,98.0,27.0,0.241,0.718
1720.0,6214.0,798.0,1623.0,302.0,36.0,176.0,729.0,600.0,865.0,80.0,51.0,0.261,0.734
1771.0,7605.0,1296.0,2084.0,354.0,136.0,56.0,813.0,1135.0,233.0,465.0,29.111971403812824,0.274,0.753
1184.0,4718.0,925.0,1429.0,259.0,114.0,53.0,836.0,484.0,141.0,129.0,29.111971403812824,0.303,0.82
1284.0,4603.0,901.0,1297.0,269.0,73.0,183.0,795.0,712.0,383.0,37.0,19.0,0.282,0.873
1151.0,3149.0,385.0,849.0,140.0,34.0,30.0,266.0,180.0,356.0,106.0,42.0,0.27,0.672
871.0,2810.0,419.0,648.0,111.0,14.0,100.0,351.0,413.0,702.0,65.0,26.0,0.231,0.717
1821.0,6212.0,946.0,1934.0,389.0,96.0,116.0,990.0,383.0,340.0,127.0,82.0,0.311,0.82
1112.0,3791.0,422.0,991.0,183.0,31.0,80.0,454.0,318.0,675.0,9.0,14.0,0.261,0.71
1217.0,3151.0,310.0,861.0,144.0,20.0,29.0,354.0,236.0,287.0,10.0,12.0,0.273,0.683
889.0,2810.0,370.0,725.0,181.0,20.0,135.0,436.0,334.0,662.0,17.0,7.0,0.258,0.821
1301.0,4330.0,498.0,1102.0,176.0,15.0,65.0,506.0,626.0,428.0,10.0,13.0,0.255,0.695
1536.0,5392.0,730.0,1618.0,267.0,29.0,215.0,898.0,609.0,862.0,97.0,47.0,0.3,0.85
954.0,3032.0,394.0,778.0,150.0,9.0,97.0,361.0,228.0,736.0,78.0,19.0,0.257,0.719
915.0,3439.0,566.0,950.0,167.0,46.0,66.0,319.0,346.0,679.0,87.0,32.0,0.276,0.763
975.0,2706.0,382.0,746.0,132.0,19.0,69.0,349.0,226.0,409.0,7.0,10.0,0.276,0.747
